"D";"Klassifikation af sygdomme"
"DD049D";"Carcinoma in situ cutis uden specifikation, mb. Bowen"
"DD049E";"Carcinoma in situ cutis uden specifikation, bowenoid papulose"
"DD049G";"Carcinoma in situ cutis uden specifikation, recidivans"
"DD049Z";"Carcinoma in situ cutis uden specifikation, andet"
"DD05";"Carcinoma in situ i bryst (Carcinoma in situ mammae)"
"DD050";"Carcinoma in situ mammae lobularis"
"DD051";"Carcinoma in situ mammae intraductalis"
"DD056";"Pagets sygdom i bryst (brystvorte)"
"DD057";"Carcinoma in situ mammae med anden lokalisation"
"DD059";"Carcinoma in situ mammae uden specifikation"
"DD06";"Carcinoma in situ i livmoderhals (Carcinoma in situ cervicis uteri)"
"DD069";"Carcinoma in situ cervicis uteri uden specifikation"
"DD07";"Carcinoma in situ i andre kønsorganer (Carcinoma in situ genitalium aliorum)"
"DD070";"Endometriehyperplasi med atypi"
"DD071";"Carcinoma in situ i vulva"
"DD072";"Carcinoma in situ i vagina"
"DD073";"Carcinoma in situ genitalium feminae med anden eller ikke specificeret lokalisation"
"DD074";"Carcinoma in situ penis"
"DD074D";"Carcinoma in situ penis, mb. Bowen"
"DD074E";"Carcinoma in situ penis, bowenoid papulose"
"DD074G";"Carcinoma in situ penis, recidivans"
"DD074Z";"Carcinoma in situ penis, andet"
"DD075";"Carcinoma in situ prostatae"
"DD076";"Carcinoma in situ genitalium viri med anden eller ikke specificeret lokalisation"
"DD076A";"Carcinoma in situ genitalium viri, anden lokalisation"
"DD076B";"Carcinoma in situ genitalium viri uden specifikation"
"DD076T";"Carcinoma in situ testis"
"DD09";"Carcinoma in situ på andre og ikke specificerede lokalisationer (Carcinoma in situ alia et non specificata)"
"DD090";"Carcinoma in situ vesicae urinariae"
"DD091";"Carcinoma in situ i andre og ikke specificerede urinorganer"
"DD091A";"Carcinoma in situ i nyre"
"DD091B";"Carcinoma in situ i nyrepelvis"
"DD091C";"Carcinoma in situ i ureter"
"DD091D";"Carcinoma in situ i urethra"
"DD092";"Carcinoma in situ oculi"
"DD093";"Carcinoma in situ glandulae thyreoideae et glandulae endocrinae aliae"
"DD093A";"Carcinoma in situ glandulae thyreoideae"
"DD093B";"Carcinoma in situ glandulae endocrinae aliae"
"DD097";"Carcinoma in situ med anden specificeret lokalisation"
"DD099";"Carcinoma in situ uden specifikation"
"DD10";"Godartet svulst i læbe, mundhule og svælg (Neoplasma benignum labii, cavi oris et pharyngis)"
"DD100";"Neoplasma benignum labii"
"DD101";"Neoplasma benignum linguae"
"DD101A";"Neoplasma benignum tonsillae linguae"
"DD102";"Neoplasma benignum baseos oris"
"DD103";"Neoplasma benignum cavi oris med anden eller ikke specificeret lokalisation"
"DD103A";"Neoplasma benignum cavi oris uden specifikation"
"DD103B";"Papillomatosis mucosae oris palati"
"DD104";"Neoplasma benignum tonsillae"
"DD104A";"Neoplasma benignum tonsillae palatinae"
"DD105";"Neoplasma benignum oropharyngis med anden lokalisation"
"DD106";"Neoplasma benignum nasopharyngis"
"DD107";"Neoplasma benignum hypopharyngis"
"DD109";"Neoplasma benignum pharyngis uden specifikation"
"DD11";"Godartet svulst i store spytkirtler (Neoplasma benignum glandularum salivarium majorum)"
"DD110";"Neoplasma benignum glandulae parotidis"
"DD117";"Neoplasma benignum glandulae salivariae majoris aliae"
"DD117A";"Neoplasma benignum glandulae sublingualis"
"DD117B";"Neoplasma benignum glandulae submandibularis"
"DD119";"Neoplasma benignum glandulae salivariae majoris uden specifikation"
"DD12";"Godartet svulst i tyktarm, endetarm og endetarmsåbning (Neoplasma benignum coli, recti, ani et canalis analis)"
"DD120";"Neoplasma benignum coeci"
"DD120A";"Neoplasma benignum valvulae ileocoecalis"
"DD121";"Neoplasma benignum appendicis"
"DD122";"Neoplasma benignum coli ascendentis"
"DD123";"Neoplasma benignum coli transversi"
"DD123A";"Neoplasma benignum coli flexura hepaticae"
"DD123B";"Neoplasma benignum coli flexura lienalis"
"DD124";"Neoplasma benignum coli descendentis"
"DD125";"Neoplasma benignum coli sigmoidei"
"DD126";"Neoplasma benignum coli uden specifikation"
"DD126A";"Adenomatosis coli"
"DD126B";"Polyposis hereditaria coli"
"DD126C";"Neoplasma benignum coli multiplex"
"DD126F";"Familiær adenomatøs polypose (FAP)"
"DD128";"Neoplasma benignum recti"
"DD129";"Neoplasma benignum ani et canalis analis"
"DD129A";"Neoplasma benignum ani"
"DD129B";"Neoplasma benignum canalis analis"
"DD13";"Godartet svulst i andre og dårligt definerede dele af fordøjelsessystemet (Neoplasma benignum systematis digestivi, partes aliae et male definitae)"
"DD130";"Neoplasma benignum oesophagi"
"DD131";"Neoplasma benignum ventriculi"
"DD132";"Neoplasma benignum duodeni"
"DD133";"Neoplasma benignum intestini tenuis i anden eller ikke specificeret del"
"DD133A";"Neoplasma benignum intestini tenuis uden lokalisation"
"DD134";"Neoplasma benignum hepatis"
"DD134A";"Neoplasma benignum viarum biliarium, intrahepatisk"
"DD135";"Neoplasma benignum viarum biliarium extrahepaticarum"
"DD136";"Neoplasma benignum pancreatis (eksokrin)"
"DD137";"Neoplasma benignum pancreatis (endokrin)"
"DD137A";"Insulinoma"
"DD137B";"Glucagonom syndrom"
"DD139";"Neoplasma benignum systematis digestivi uden specifikation"
"DD14";"Godartet svulst i mellemøre og åndedrætsorganer (Neoplasma benignum auris mediae et organorum respirationis)"
"DD140";"Neoplasma benignum auris mediae, cavi nasi et sinuum nasi"
"DD140A";"Neoplasma benignum auris mediae"
"DD140B";"Neoplasma benignum cavi nasi"
"DD140C";"Neoplasma benignum sinus accessorii"
"DD141";"Neoplasma benignum laryngis"
"DD142";"Neoplasma benignum tracheae"
"DD143";"Neoplasma benignum bronchi et pulmonis"
"DD143A";"Neoplasma benignum bronchi"
"DD143B";"Neoplasma benignum pulmonis"
"DD144";"Neoplasma benignum systematis respirationis uden specifikation"
"DD15";"Godartet svulst i andre og ikke specificerede organer i brysthule (Neoplasma benignum organorum intrathoracalium aliorum et non specificatorum)"
"DD150";"Neoplasma benignum thymi"
"DD151";"Neoplasma benignum cordis"
"DD152";"Neoplasma benignum mediastini"
"DD157";"Neoplasma benignum organorum intrathoracalium med anden lokalisation"
"DD159";"Neoplasma benignum organorum intrathoracalium uden specifikation"
"DD16";"Godartet svulst i knogle og ledbrusk (Neoplasma benignum ossis et cartilaginis articuli)"
"DD160";"Neoplasma benignum scapulae et ossium longorum extremitatis superioris"
"DD160A";"Neoplasma benignum cartilaginis articuli ossium longorum extremitatis superioris"
"DD160B";"Neoplasma benignum cartilaginis articuli scapulae"
"DD160C";"Neoplasma benignum ossium longorum extremitatis superioris"
"DD160D";"Neoplasma benignum scapulae"
"DD161";"Neoplasma benignum ossium brevium extremitatis superioris"
"DD161A";"Neoplasma benignum cartilaginis articuli ossium brevium extr"
"DD161B";"Neoplasma benignum ossium brevium extremitatis superioris"
"DD162";"Neoplasma benignum ossium longorum extremitatis inferioris"
"DD162A";"Neoplasma benignum cartilaginis articuli ossium longorum extremitatis inferioris"
"DD162B";"Neoplasma benignum ossium longorum extremitatis inferioris"
"DD163";"Neoplasma benignum ossium brevium extremitatis inferioris"
"DD163A";"Neoplasma benignum cartilaginis articuli ossium brevium extremitatis"
"DD163B";"Neoplasma benignum ossium brevium extremitatis inferioris"
"DD163C";"Subungval exostosis"
"DD164";"Neoplasma benignum ossis cranii et faciei"
"DD164A";"Neoplasma benignum cartilaginis articuli ossis cranii"
"DD164B";"Neoplasma benignum cartilaginis articuli ossis faciei"
"DD164C";"Neoplasma benignum ossis cranii"
"DD164D";"Neoplasma benignum ossis faciei"
"DD165";"Neoplasma benignum mandibulae"
"DD165A";"Neoplasma benignum cartilaginis articuli mandibulae"
"DD166";"Neoplasma benignum columnae vertebralis"
"DD166A";"Neoplasma benignum cartilaginis articuli columnae vertebralis"
"DD166B";"Neoplasma benignum columnae vertebralis"
"DD167";"Neoplasma benignum costae, sterni et claviculae"
"DD167A";"Neoplasma benignum cartilaginis articuli claviculae"
"DD167B";"Neoplasma benignum cartilaginis articuli costae"
"DD167C";"Neoplasma benignum cartilaginis articuli sterni"
"DD167D";"Neoplasma benignum claviculae"
"DD167E";"Neoplasma benignum costae"
"DD167F";"Neoplasma benignum sterni"
"DD168";"Neoplasma benignum ossium pelvis, ossis sacri et ossis coccygis"
"DD168A";"Neoplasma benignum cartilaginis articuli ossis coccygis"
"DD168B";"Neoplasma benignum cartilaginis articuli ossis pelvis"
"DD168C";"Neoplasma benignum cartilaginis articuli ossis sacri"
"DD168D";"Neoplasma benignum ossis coccygis"
"DD168E";"Neoplasma benignum ossis pelvis"
"DD168F";"Neoplasma benignum ossis sacri"
"DD169";"Neoplasma benignum ossis et cartilaginis articuli uden specifikation"
"DD169A";"Neoplasma benignum cartilaginis articuli uden specifikation"
"DD169B";"Neoplasma benignum ossis uden specifikation"
"DD17";"Godartet fedtsvulst (Neoplasma benignum lipomatosum)"
"DD170";"Neoplasma benignum lipomatosum cutis et subcutis capitis, faciei et colli"
"DD170A";"Neoplasma benignum lipomatosum cutis capitis"
"DD170B";"Neoplasma benignum lipomatosum cutis colli"
"DD170C";"Neoplasma benignum lipomatosum cutis faciei"
"DD170D";"Neoplasma benignum lipomatosum subcutis capitis"
"DD170E";"Neoplasma benignum lipomatosum subcutis colli"
"DD170F";"Neoplasma benignum lipomatosum subcutis faciei"
"DD171";"Neoplasma benignum lipomatosum cutis et subcutis trunci"
"DD171A";"Neoplasma benignum lipomatosum cutis trunci"
"DD171B";"Neoplasma benignum lipomatosum subcutis trunci"
"DD172";"Neoplasma benignum lipomatosum cutis et subcutis extremitatum"
"DD172A";"Neoplasma benignum lipomatosum cutis extremitatum"
"DD172B";"Neoplasma benignum lipomatosum subcutis extremitatum"
"DD173";"Neoplasma benignum lipomatosum cutis et subcutis med anden eller ikke specificeret lokalisation"
"DD173A";"Neoplasma benignum lipomatosum cutis uden lokalisation"
"DD173B";"Neoplasma benignum lipomatosum subcutis uden lokalisation"
"DD174";"Neoplasma benignum lipomatosum organorum intrathoracalium"
"DD175";"Neoplasma benignum lipomatosum organorum intra-abdominalium"
"DD176";"Neoplasma benignum lipomatosum funiculi spermatici"
"DD177";"Neoplasma benignum lipomatosum med anden lokalisation"
"DD177A";"Neoplasma benignum lipomatosum peritonei"
"DD177B";"Neoplasma benignum lipomatosum retroperitonei"
"DD179";"Neoplasma benignum lipomatosum uden specifikation"
"DD18";"Godartet svulst i blodkar og i lymfekar (Haemangioma, lymphangioma)"
"DD180";"Haemangioma uden specifikation"
"DD180A";"Haemangioma, intrakutan"
"DD180B";"Blue rubber bleb naevus"
"DD180C";"Kimuras sygdom"
"DD180D";"Haemangioma diffusum"
"DD180E";"Kasabach-Merritt syndrom"
"DD180F";"Haemangioma capillare (strawberry naevus)"
"DD181";"Lymphangioma uden specifikation"
"DD181A";"Hygroma"
"DD181B";"Lymphhaemanginoma"
"DD189";"Godartet svulst i blodkar og i lymfekar uden specifikation"
"DD19";"Andre godartede svulster i bindevæv (Neoplasmata benigna aliud telae conjunctivae)"
"DD190";"Benign neoplasi i mesothelialt væv i pleura"
"DD191";"Benign neoplasi i mesothelialt væv i peritoneum"
"DD197";"Benign neoplasi i mesothelialt væv med anden lokalisation"
"DD199";"Benign neoplasi i mesothelialt væv uden specifikation"
"DD20";"Godartet svulst i bughinde og i bindevæv i bughulens bagvæg (Neoplasma benignum telae conjunctivae peritonei et retroperitonei)"
"DD200";"Neoplasma benignum telae conjunctivae retroperitonei"
"DD201";"Neoplasma benignum telae conjunctivae peritonei"
"DD21";"Godartet svulst i andet bindevæv og andet blødt væv (Neoplasma benignum telae conjunctivae aliae)"
"DD210";"Neoplasma benignum telae conjunctivae capitis, faciei et colli"
"DD210A";"Neoplasma benignum telae conjunctivae capitis"
"DD210B";"Neoplasma benignum telae conjunctivae colli"
"DD210C";"Neoplasma benignum telae conjunctivae faciei"
"DD211";"Neoplasma benignum telae conjunctivae extremitatis superioris (inkl. cingulum)"
"DD211A";"Neoplasma benignum telae conjunctivae cinguli"
"DD211B";"Neoplasma benignum telae conjunctivae extremitatis superioris"
"DD212";"Neoplasma benignum telae conjunctivae extremitatis inferioris (inkl. regio coxae)"
"DD212A";"Neoplasma benignum telae conjunctivae extremitatis inferioris"
"DD212B";"Neoplasma benignum telae conjunctivae regionis coxae"
"DD213";"Neoplasma benignum telae conjunctivae thoracis"
"DD214";"Neoplasma benignum telae conjunctivae abdominis"
"DD215";"Neoplasma benignum telae conjunctivae pelvis"
"DD216";"Neoplasma benignum telae conjunctivae trunci uden specifikation"
"DD217";"Neoplasma benignum telae conjunctivae med anden lokalisation"
"DD217A";"Xanthofibrom"
"DD219";"Neoplasma benignum telae conjunctivae uden specifikation"
"DD22";"Blå naevus (Naevus melanocyticus)"
"DD220";"Naevus melanocyticus labii"
"DD220D";"Naevus melanocyticus labii, compositus"
"DD220E";"Naevus melanocyticus labii, congenitus"
"DD220F";"Naevus melanocyticus labii, coeruleus (blue)"
"DD220G";"Naevus melanocyticus labii, dermalis (intradermalt)"
"DD220H";"Naevus melanocyticus labii, dysplastisk (atypisk)"
"DD220K";"Naevus melanocyticus labii, gigant (Tierfell)"
"DD220L";"Naevus melanocyticus labii, halo naevus"
"DD220M";"Naevus melanocyticus labii, Ito naevus"
"DD220N";"Naevus melanocyticus labii, Ota naevus"
"DD220P";"Naevus melanocyticus labii, Spitz' naevus"
"DD220Q";"Naevus melanocyticus labii, naevus spilus"
"DD220V";"Naevus melanocyticus labii, junctionalis (intraepidermalt)"
"DD220Z";"Naevus melanocyticus labii, andet"
"DD221";"Naevus melanocyticus palpebrae (inkl. canthus oculi)"
"DD221A";"Naevus melanocyticus canthi oculi"
"DD221B";"Naevus melanocyticus palpebrae"
"DD221D";"Naevus melanocyticus palpebrae, compositus"
"DD221E";"Naevus melanocyticus palpebrae, congenitus"
"DD221F";"Naevus melanocyticus palpebrae, coeruleus (blue)"
"DD221G";"Naevus melanocyticus palpebrae, dermalis (intradermalt)"
"DD221H";"Naevus melanocyticus palpebrae, dysplastisk (atypisk)"
"DD221K";"Naevus melanocyticus palpebrae, gigant (Tierfell)"
"DD221L";"Naevus melanocyticus palpebrae, halo naevus"
"DD221M";"Naevus melanocyticus palpebrae, Ito naevus"
"DD221N";"Naevus melanocyticus palpebrae, Ota naevus"
"DD221P";"Naevus melanocyticus palpebrae, Spitz' naevus"
"DD221Q";"Naevus melanocyticus palpebrae, naevus spilus"
"DD221V";"Naevus melanocyticus palpebrae, junctionalis (intraepidermalt)"
"DD221Z";"Naevus melanocyticus palpebrae, andet"
"DD222";"Naevus melanocyticus auris et canalis auris externi"
"DD222A";"Naevus melanocyticus auris"
"DD222B";"Naevus melanocyticus canalis auris externi"
"DD222D";"Naevus melanocyticus auris et canalis auris externi, compositus"
"DD222E";"Naevus melanocyticus auris et canalis auris externi, congenitus"
"DD222F";"Naevus melanocyticus auris et canalis auris externi, coeruleus (blue)"
"DD222G";"Naevus melanocyticus auris et canalis auris externi, dermalis (intradermalt)"
"DD222H";"Naevus melanocyticus auris et canalis auris externi, dysplastisk (atypisk)"
"DD222K";"Naevus melanocyticus auris et canalis auris externi, gigant (Tierfell)"
"DD222L";"Naevus melanocyticus auris et canalis auris externi, halo naevus"
"DD222M";"Naevus melanocyticus auris et canalis auris externi, Ito naevus"
"DD222N";"Naevus melanocyticus auris et canalis auris externi, Ota naevus"
"DD222P";"Naevus melanocyticus auris et canalis auris externi, Spitz' naevus"
"DD222Q";"Naevus melanocyticus auris et canalis auris externi, naevus spilus"
"DD222V";"Naevus melanocyticus auris et canalis auris externi, junctionalis (intraepidermalt)"
"DD222Z";"Naevus melanocyticus auris et canalis auris externi, andet"
"DD223";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation"
"DD223A";"Naevus melanocyticus faciei uden specifikation"
"DD223D";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, compositus"
"DD223E";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, congenitus"
"DD223F";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, coeruleus (blue)"
"DD223G";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, dermalis (intradermalt)"
"DD223H";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, dysplastisk (atypisk)"
"DD223K";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, gigant (Tierfell)"
"DD223L";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, halo naevus"
"DD223M";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, Ito naevus"
"DD223N";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, Ota naevus"
"DD223P";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, Spitz' naevus"
"DD223Q";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, naevus spilus"
"DD223V";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, junctionalis (intraepidermalt)"
"DD223Z";"Naevus melanocyticus faciei med anden eller ikke specificeret lokalisation, andet"
"DD224";"Naevus melanocyticus capillitii et colli"
"DD224A";"Naevus melanocyticus capillitii"
"DD224B";"Naevus melanocyticus colli"
"DD224D";"Naevus melanocyticus capillitii et colli, compositus"
"DD224E";"Naevus melanocyticus capillitii et colli, congenitus"
"DD224F";"Naevus melanocyticus capillitii et colli, coeruleus (blue)"
"DD224G";"Naevus melanocyticus capillitii et colli, dermalis (intradermalt)"
"DD224H";"Naevus melanocyticus capillitii et colli, dysplastisk (atypisk)"
"DD224K";"Naevus melanocyticus capillitii et colli, gigant (Tierfell)"
"DD224L";"Naevus melanocyticus capillitii et colli, halo naevus"
"DD224M";"Naevus melanocyticus capillitii et colli, Ito naevus"
"DD224N";"Naevus melanocyticus capillitii et colli, Ota naevus"
"DD224P";"Naevus melanocyticus capillitii et colli, Spitz' naevus"
